participant_number,age,education,work_experience,condition,typeI_init,typeI_fin,typeII_init,typeII_fin,ai_typeI,ai_typeII,badloans_num,goodloans_num,confidence_init_avg,confidence_fin_avg
1,2,2,0,Baseline,1,1,0,0,2,1,3,7,72.9,72.9
2,2,2,0,Baseline,0,0,1,1,2,1,3,7,57.6,57.6
3,2,2,1,Baseline,0,0,0,0,2,1,3,7,75.5,75.5
4,2,2,0,Baseline,4,4,0,0,2,1,3,7,77.5,77.5
5,2,3,0,Baseline,0,0,1,1,2,1,3,7,66.3,66.3
6,2,3,0,Baseline,2,2,0,0,2,1,3,7,79,79
7,2,3,0,Baseline,1,1,0,0,2,1,3,7,51.3,51.3
8,2,3,1,Baseline,3,3,0,0,2,1,3,7,69.5,69.5
9,2,2,0,Baseline,2,2,2,2,2,1,3,7,45.7,45.7
10,2,3,1,Baseline,1,1,1,1,2,1,3,7,74.3,74.3
11,3,3,0,Baseline,0,0,1,1,2,1,3,7,82.6,82.6
12,2,2,1,Baseline,4,4,0,0,2,1,3,7,63,63
13,2,2,0,Baseline,0,0,0,0,2,1,3,7,51.3,51.3
14,3,3,0,Baseline,1,1,1,1,2,1,3,7,73,73
15,3,3,0,Baseline,1,1,1,1,2,1,3,7,90.8,90.8
16,2,2,0,Baseline,4,4,1,1,2,1,3,7,62.3,62.3
17,2,3,0,Baseline,0,0,1,1,2,1,3,7,85.1,85.1
18,2,3,0,RA,1,1,1,1,2,1,3,7,82,82
19,2,1,0,RA,4,4,2,2,2,1,3,7,72.3,72.3
20,3,2,0,RA,0,0,1,1,2,1,3,7,79.4,79.4
21,2,3,0,RA,0,0,3,3,2,1,3,7,84,84
22,2,3,1,RA,2,2,2,2,2,1,3,7,72.6,72.6
23,2,3,1,RA,0,0,1,1,2,1,3,7,88.8,88.8
24,2,2,0,RA,1,1,1,1,2,1,3,7,62.9,62.9
25,2,3,0,RA,2,2,0,0,2,1,3,7,72.9,72.9
26,2,3,0,RA,0,0,0,0,2,1,3,7,57,57
27,2,3,0,RA,1,1,1,1,2,1,3,7,53.2,53.2
28,2,2,1,RA,3,3,1,1,2,1,3,7,55.6,55.6
29,2,1,0,RA,3,3,1,1,2,1,3,7,15.3,15.3
30,2,3,0,RA,1,1,2,2,2,1,3,7,69.2,69.2
31,2,3,0,Update,1,1,1,1,2,1,3,7,80.2,86.2
32,2,2,0,Update,0,0,2,1,2,1,3,7,70.6,74.9
33,2,2,0,Update,0,0,1,1,2,1,3,7,85.9,95.2
34,2,2,0,Update,2,2,0,1,2,1,3,7,50,72
35,2,2,0,Update,1,1,1,1,2,1,3,7,50,55.4
36,2,3,0,Update,0,1,1,2,2,1,3,7,74.5,75.2
37,2,3,0,Update,2,4,3,3,2,1,3,7,58.5,62.1
38,2,3,0,Update,0,1,3,2,2,1,3,7,64.7,67.9
39,3,3,0,Update,0,0,0,0,2,1,3,7,79.5,79.3
40,2,2,0,Update,2,3,0,0,2,1,3,7,75,82.9
41,2,2,0,Update,0,0,1,1,2,1,3,7,60.7,60.8
42,2,2,0,Update,1,2,0,0,2,1,3,7,51.7,64.1
43,2,3,0,Feedback,1,1,1,1,2,1,3,7,76.7,76.7
44,2,3,1,Feedback,0,0,0,0,2,1,3,7,50.4,50.4
45,3,3,1,Feedback,1,1,0,0,2,1,3,7,43.4,43.4
46,2,3,0,Feedback,3,3,0,0,2,1,3,7,51,51
47,4,3,0,Feedback,2,2,1,1,2,1,3,7,86.7,86.7
48,3,3,0,Feedback,0,0,1,1,2,1,3,7,90,90
49,3,2,0,Feedback,1,1,1,1,2,1,3,7,76.2,76.2
50,2,2,0,Feedback,1,1,0,0,2,1,3,7,62.6,62.6
51,2,3,0,Feedback,0,0,1,1,2,1,3,7,75.6,75.6
52,2,3,0,Feedback,2,2,0,0,2,1,3,7,70.9,70.9
53,2,2,0,Feedback,1,1,0,0,2,1,3,7,86.8,86.8
